name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews,bad_data,
Adam Małysz,Wisła,POLAND,1977,Male,SKIER,INDIVIDUAL SPORTS,SPORTS,3777234,69826.02917,273772,104923.1667,,
Jules Grévy,Mont-sous-Vaudrey,FRANCE,1807,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,421781,1758.782173,74180,14544.17241,,
David Gilmour,Grantchester,UNITED KINGDOM,1946,Male,MUSICIAN,MUSIC,ARTS,9250990,33031.65812,4779939,196829.5745,,
Bartolomé Estéban Murillo,Seville,SPAIN,1617,Male,ARTIST,FINE ARTS,ARTS,1853679,8324.557626,349374,46341.975,,
Thomas L. Friedman,St. Louis Park,UNITED STATES,1953,Male,WRITER,LANGUAGE,HUMANITIES,1812294,6046.052679,1411108,69703.61538,,
John,26,,Europe,1455,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,10.39081723,733.2140653,118249,22.65068969,
Alexios IV Angelos,Other,Unknown,1182,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,235044,1022.828635,74699,7122.545455,,
Urbain Le Verrier,Saint-Lô,France,1811,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,449828,1886.16402,152386,10710.19048,,
John Couch Adams,Laneast,UNITED KINGDOM,1819,Male,MATHEMATICIAN,MATH,SCIENCE & TECHNOLOGY,334693,1788.67562,159719,8163.243902,,
Amin Maalouf,Beirut,LEBANON,1949,Male,WRITER,LANGUAGE,HUMANITIES,1342544,7244.01488,269421,30512.36364,,
Dario Fo,Sangiano,ITALY,1926,Male,WRITER,LANGUAGE,HUMANITIES,2778907,20495.99595,500405,42104.65152,,
Maharishi Mahesh Yogi,Chichli,India,1918,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,2712810,17726.14126,1706374,87510,,
Marcel Marceau,Strasbourg,FRANCE,1923,Male,ACTOR,FILM AND THEATRE,ARTS,2374606,6837.63001,1155787,62489.63158,,
Totò,Naples,Italy,1898,Male,ACTOR,FILM AND THEATRE,ARTS,2739874,11725.65918,217711,105379.7692,,
The Notorious B.I.G.,New York,United States,1972,Male,SINGER,MUSIC,ARTS,29134431,143027.0013,21031779,633357.1957,,
Eric Bana,Melbourne,AUSTRALIA,1968,Male,ACTOR,FILM AND THEATRE,ARTS,10634433,45656.40883,6632873,253200.7857,,
Caetano Veloso,Santo Amaro,BRAZIL,1942,Male,MUSICIAN,MUSIC,ARTS,2722713,10719.67349,621032,97239.75,,
Gilberto Gil,Salvador,BRAZIL,1942,Male,MUSICIAN,MUSIC,ARTS,1799746,5884.28467,439342,56242.0625,,
Heitor Villa-Lobos,Rio de Janeiro,BRAZIL,1887,Male,COMPOSER,MUSIC,ARTS,2442874,15931.34758,532653,64286.15789,,
Viktor Frankl,Leopoldstadt,Austria,1905,Male,PSYCHOLOGIST,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,4116908,15407.01747,1610619,102922.7,,
Princess Beatrice of York,London,United Kingdom,1988,Female,NOBLEMAN,GOVERNMENT,INSTITUTIONS,5548756,102141.4633,4310343,205509.4815,,
Ilan Ramon,Ramat Gan,Israel,1954,Male,ASTRONAUT,EXPLORERS,EXPLORATION,1212532,6527.805125,517387,37891.625,,
Kalpana Chawla,Karnal,India,1961,Female,ASTRONAUT,EXPLORERS,EXPLORATION,3672984,31541.67848,3100427,114780.75,,
Earl Warren,Los Angeles,UNITED STATES,1891,Male,JUDGE,GOVERNMENT,INSTITUTIONS,2075222,8499.701632,1813587,79816.23077,,
Friedrich Wilhelm Joseph Schelling,Leonberg,GERMANY,1775,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,1609163,5639.977467,344534,35759.17778,,
Ludwig Andreas Feuerbach,Landshut,Germany,1804,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,2589467,8652.644242,365599,52846.26531,,
Sextus Empiricus,Other,Unknown,160,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,746055,2140.714308,292507,23314.21875,,
August Wilhelm von Schlegel,Hanover,GERMANY,1767,Male,WRITER,LANGUAGE,HUMANITIES,467958,1292.36023,106563,14623.6875,,
Hans Eysenck,Berlin,Germany,1916,Male,PSYCHOLOGIST,SOCIAL SCIENCES,SCIENCE & TECHNOLOGY,1323842,4687.794419,788506,49031.18519,,
Arthur,34,,Europe,1486,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,11.64901758,3570.468641,545662,24.6131654,
Marie Dressler,Cobourg,CANADA,1868,Female,ACTOR,FILM AND THEATRE,ARTS,444247,2407.191974,307081,16453.59259,,
Helen Hayes,Washington,,North America,1900,Female,ACTOR,FILM AND THEATRE,ARTS,3.368917736,5896.570934,309456,21.83479548,
John Rhys-Davies,Ammanford,UNITED KINGDOM,1944,Male,ACTOR,FILM AND THEATRE,ARTS,5980040,31209.89402,3974543,192904.5161,,
Christopher Nolan,London,UNITED KINGDOM,1970,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,18040206,221631.862,11115497,311038.0345,,
