name,birthcity,countryName,birthyear,gender,occupation,industry,domain,TotalPageViews,StdDevPageViews,PageViewsEnglish,AverageViews
Bryce Dallas Howard,Los Angeles,UNITED STATES,1981,Female,ACTOR,FILM AND THEATRE,ARTS,9821325,58457.58363,6936583,363752.7778
Lucille Ball,Jamestown,United States,1911,Female,ACTOR,FILM AND THEATRE,ARTS,9782610,141808.2014,8956709,305706.5625
Alain Delon,Sceaux,France,1935,Male,ACTOR,FILM AND THEATRE,ARTS,9780898,58695.8482,2302907,184545.2453
Kajol,Mumbai,India,1974,Female,ACTOR,FILM AND THEATRE,ARTS,9776538,55524.25453,7265825,244413.45
Ashley Judd,Los Angeles,United States,1968,Female,ACTOR,FILM AND THEATRE,ARTS,9774675,77718.95701,7093285,305458.5938
Derrick Rose,Chicago,UNITED STATES,1988,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,9750522,127651.7978,7331555,278586.3429
Buckethead,Los Angeles,UNITED STATES,1969,Male,MUSICIAN,MUSIC,ARTS,9736382,34317.11807,6633671,360606.7407
David Duchovny,New York,UNITED STATES,1960,Male,ACTOR,FILM AND THEATRE,ARTS,9727378,39124.93649,5765349,198517.9184
Kevin-Prince Boateng,Wedding,GERMANY,1987,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,9708656,115855.8481,3529288,236796.4878
Mario Gomez,Riedlingen,GERMANY,1985,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,9706968,246164.1291,3544624,198101.3878
Michael Keaton,Pittsburgh,United States,1951,Male,ACTOR,FILM AND THEATRE,ARTS,9703755,43753.78802,6263308,242593.875
David Henrie,Los Angeles,UNITED STATES,1989,Male,ACTOR,FILM AND THEATRE,ARTS,9669775,52742.00817,5556684,358139.8148
Saif Ali Khan,New Delhi,India,1970,Male,ACTOR,FILM AND THEATRE,ARTS,9663628,104318.7274,8886715,301988.375
Luciano Pavarotti,Modena,ITALY,1935,Male,SINGER,MUSIC,ARTS,9663014,28418.66296,3725551,123884.7949
Tim Berners-Lee,London,UNITED KINGDOM,1955,Male,COMPUTER SCIENTIST,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,9661662,66628.94588,5753526,98588.38776
Elle Fanning,Conyers,UNITED STATES,1998,Female,ACTOR,FILM AND THEATRE,ARTS,9650323,87760.0907,5614714,357419.3704
Zachary Quinto,Pittsburgh,UNITED STATES,1977,Male,ACTOR,FILM AND THEATRE,ARTS,9647959,101495.4989,6896328,283763.5
Dan Aykroyd,Ottawa,Canada,1952,Male,ACTOR,FILM AND THEATRE,ARTS,9627044,32578.65023,6081663,246847.2821
Steve Nash,Johannesburg,SOUTH AFRICA,1974,Male,BASKETBALL PLAYER,TEAM SPORTS,SPORTS,9620223,92946.79255,7337657,253163.7632
Jason Earles,San Diego,UNITED STATES,1977,Male,ACTOR,FILM AND THEATRE,ARTS,9612135,51844.47772,6495239,356005
Conan O'Brien,Boston,UNITED STATES,1963,Male,PRESENTER,MEDIA PERSONALITY,PUBLIC FIGURE,9609001,112676.4783,8591384,252868.4474
Xabi Alonso,Tolosa,SPAIN,1981,Male,SOCCER PLAYER,TEAM SPORTS,SPORTS,9606430,90120.66568,3986715,154942.4194
James Blunt,Tidworth,UNITED KINGDOM,1974,Male,SINGER,MUSIC,ARTS,9604683,52310.4057,4626779,174630.6
Kelly Kelly,Jacksonville,UNITED STATES,1987,Female,WRESTLER,INDIVIDUAL SPORTS,SPORTS,9602004,58454.71224,6799723,355629.7778
Keri Hilson,Decatur,UNITED STATES,1982,Female,SINGER,MUSIC,ARTS,9595388,73826.91229,7705497,290769.3333
Larry Page,East Lansing,UNITED STATES,1973,Male,COMPUTER SCIENTIST,COMPUTER SCIENCE,SCIENCE & TECHNOLOGY,9585448,57519.92956,6065001,162465.2203
Mary Elizabeth Winstead,Rocky Mount,UNITED STATES,1984,Female,ACTOR,FILM AND THEATRE,ARTS,9580150,71283.88413,6938303,273718.5714
James Marsden,Stillwater,United States,1973,Male,ACTOR,FILM AND THEATRE,ARTS,9578975,34611.36349,6521179,239474.375
Audrey Tautou,Beaumont,FRANCE,1976,Female,ACTOR,FILM AND THEATRE,ARTS,9568455,35401.97261,3501901,170865.2679
Ryan Phillippe,New Castle,UNITED STATES,1974,Male,ACTOR,FILM AND THEATRE,ARTS,9565724,49090.36956,5881959,308571.7419
John Goodman,St. Louis,UNITED STATES,1952,Male,ACTOR,FILM AND THEATRE,ARTS,9553161,53155.98815,6838584,272947.4571
Darren Criss,San Francisco-Bay Area,UNITED STATES,1987,Male,ACTOR,FILM AND THEATRE,ARTS,9547096,136444.0611,6636796,340967.7143
Noel Gallagher,Longsight,United Kingdom,1967,Male,SINGER,MUSIC,ARTS,9538392,54335.3733,5228624,251010.3158
Pedro Almodóvar,Calzada de Calatrava,SPAIN,1949,Male,FILM DIRECTOR,FILM AND THEATRE,ARTS,9538085,46933.252,2442686,158968.0833
Burt Reynolds,Lansing,UNITED STATES,1936,Male,ACTOR,FILM AND THEATRE,ARTS,9537663,53920.73059,6907458,264935.0833
Milo Ventimiglia,Los Angeles,UNITED STATES,1977,Male,ACTOR,FILM AND THEATRE,ARTS,9533949,26896.00423,5963772,288907.5455
Grand Duchess Anastasia Nikolaevna of Russia,Petergof,Russia,1901,Female,NOBLEMAN,GOVERNMENT,INSTITUTIONS,9530545,44966.52103,5298169,244372.9487
Pope John Paul I,Canale d'Agordo,ITALY,1912,Male,RELIGIOUS FIGURE,RELIGION,INSTITUTIONS,9521951,199489.2004,3310495,119024.3875
Juliette Lewis,Los Angeles,UNITED STATES,1973,Female,ACTOR,FILM AND THEATRE,ARTS,9517932,41602.72485,5587447,317264.4
Maggie Q,Honolulu,UNITED STATES,1979,Female,ACTOR,FILM AND THEATRE,ARTS,9513396,61960.63455,6585092,339764.1429
Mitchel Musso,Garland,United States,1991,Male,ACTOR,FILM AND THEATRE,ARTS,9513248,43837.82663,5902522,317108.2667
Nicole Richie,San Francisco-Bay Area,UNITED STATES,1981,Female,CELEBRITY,MEDIA PERSONALITY,PUBLIC FIGURE,9508728,33867.96526,6287890,365720.3077
